ID,brand,name_cn,name_fr,year,score,top_note,middle_note,base_note,note
342962,香奈儿,5号香精版,Chanel N°5 Parfum,1921,8,醛 依兰 橙花油 香柠檬 柠檬,鸢尾花 茉莉 玫瑰 鸢尾根 铃兰,麝猫香 麝香 琥珀 檀香木 橡木苔 香根草 香草 广藿香,
918503,香奈儿,蔚蓝香精版,Chanel Bleu de Chanel Parfum,2018,8,柠檬皮 香柠檬 薄荷 艾蒿,薰衣草 菠萝 天竺葵 绿叶,檀香木 雪松 琥珀木 龙涎酮 零陵香豆,
664020,香奈儿,珍藏系列-法式别墅淡香精,Chanel La Pausa Eau de Parfum,2016,8.6,,,,鸢尾花 木质 绿叶 脂粉味
607576,香奈儿,水晶恋淡香水,Chanel Cristalle Eau de Toilette,1974,8.6,柠檬 香柠檬,风信子 巴西红木 忍冬 茉莉,橡木苔 香根草,
748009,香奈儿,可可小姐淡香水,Chanel Coco Mademoiselle Eau de Toilette,2002,8.2,橙子 香柠檬 葡萄柚,荔枝 玫瑰 茉莉,广藿香 香根草 香草 麝香,
872811,香奈儿,之水系列,巴黎-威尼斯 Chanel Paris – Venise,2018,7.7,柠檬 橙子 苦橙叶 香柠檬 粉红胡椒,鸢尾花 橙花油 依兰 玫瑰 天竺葵,零陵香豆 麝香 香草 紫罗兰 鸢尾根 安息香脂,
809824,香奈儿,力度,Chanel Antaeus,1981,8.2,没药 快乐鼠尾草 芫荽 香柠檬 青柠 柠檬,玫瑰 百里香 罗勒 茉莉,海狸香 橡木苔 广藿香 劳丹脂,
169415,香奈儿,魅力男士运动,Chanel Allure Homme Sport,2004,7.7,橙子 海水 醛 橘子,胡椒 橙花油 雪松,零陵香豆 香草 麝香 琥珀 香根草 榄香脂,
746079,香奈儿,自我,Chanel Egoiste,1990,8.3,巴西红木 芫荽 桃花心木 橘子,肉桂 玫瑰 康乃馨,檀香木 烟草 香草 皮革 琥珀 黄葵,
879092,香奈儿,可可小姐馥郁版,Chanel Coco Mademoiselle Intense,2018,8.3,橙子 香柠檬 柠檬,玫瑰 果香 茉莉,广藿香 香草 零陵香豆 麝香 劳丹脂,
113878,香奈儿,之水系列,巴黎-巴黎 Chanel Paris – Paris,2022,7.9,柑橘 粉红胡椒 柠檬,玫瑰,广藿香,
392220,香奈儿,珍藏系列-岛屿森林,Chanel Bois des Iles,1926,8.1,醛 芫荽 橙花油 桃子 香柠檬 橘子,依兰 鸢尾花 鸢尾根 茉莉 玫瑰 紫丁香 铃兰,檀香木 琥珀 安息香脂 零陵香豆 红没药 香草 麝香 香根草,
966334,香奈儿,珍藏系列-狮子,Chanel Le Lion de Chanel,2020,7.6,香柠檬 柠檬,劳丹脂 琥珀,香草 广藿香 麝香 檀香木,
305753,香奈儿,珍藏系列-俄罗斯皮革,Chanel Les Exclusifs de Chanel Cuir de Russie,2007,8,橙花 香柠檬 橘子,依兰 茉莉 玫瑰 东方香料,皮革 桦木 烟草 麝香,
634944,香奈儿,白金,Chanel Egoiste Platinum,1993,7.7,薰衣草 迷迭香 橙花油 苦橙叶,天竺葵 快乐鼠尾草 白松香 茉莉,橡木苔 香根草 雪松 檀香木 琥珀,
182443,香奈儿,珍藏系列-22号淡香精,Chanel Les Exclusifs de Chanel N°22 EDP,2016,8.3,醛 橙花油 铃兰,依兰 茉莉 玫瑰 晚香玉,香草 香根草,
304577,香奈儿,邂逅柔情（粉邂逅）淡香精,Chanel Chance Eau Tendre Eau de Parfum,2019,8.1,木梨 葡萄柚,玫瑰 茉莉,麝香,
571804,香奈儿,5号低调奢华版,Chanel N°5 Eau Premiere,2008,8.1,醛 依兰 橙花油,茉莉 玫瑰,香草 檀香木 香根草,
908893,香奈儿,男孩,Chanel Boy Chanel,2016,8,薰衣草 葡萄柚 柠檬,天竺葵 橙花 玫瑰,麝香 天芥菜 檀香木 香草 橡木苔 香豆素,
850007,香奈儿,珍藏系列-岛屿森林淡香精,Chanel Bois des Iles Eau de Parfum,2016,7.9,香柠檬 橘子,檀香木 依兰,树脂 木质 香草 零陵香豆,
748752,香奈儿,之水系列,巴黎-里维埃拉 Chanel Paris – Riviera,2019,7.5,柑橘 花香 橙子,橙花油 茉莉,安息香脂 檀香木,
894558,香奈儿,珍藏系列-栀子花淡香精1925版,Chanel Gardénia,1925,7.6,橙花 绿叶,栀子花 晚香玉 茉莉 果香,椰子 香草 麝香 檀香木 香根草 广藿香,
798781,香奈儿,白色魅力（白色时尚）男士,Chanel Allure Homme Edition Blanche,2008,8.4,,,,柠檬 香草 香柠檬 粉红胡椒 檀香木 零陵香豆 香根草 麝香 琥珀 雪松
828975,香奈儿,邂逅（黄邂逅）淡香精,Chanel Chance Eau de Parfum,2005,8.1,粉红胡椒,茉莉 鸢尾花,广藿香 麝香 香草,
966690,香奈儿,邂逅活力（橙邂逅）,Chanel Chance Eau Vive,2015,7.5,血橙 葡萄柚 柑橘,茉莉 麝香,香根草 雪松 鸢尾花,
118728,香奈儿,珍藏系列-米色时尚淡香水,Chanel Les Exclusifs de Chanel Beige,2008,7.8,,,,鸡蛋花 小苍兰 蜂蜜 山楂
225286,香奈儿,魅力男士,Chanel Allure Homme,1999,7.7,柠檬 桃子 生姜 橘子 薰衣草 香柠檬,胡椒 雪松 广藿香 香根草 巴西红木 玫瑰 茉莉 栀子花 茴芹 小苍兰,香草 零陵香豆 椰子 檀香木 琥珀 安息香脂 麝香 皮革 橡木苔,
119274,香奈儿,珍藏系列-康朋街三十一号淡香精,Chanel 31 Rue Cambon Eau de Parfum,2016,8.7,胡椒 香柠檬 绿叶,鸢尾花 依兰 玫瑰,广藿香 劳丹脂 木质,
