note,class
Veridian (Violet leaves),青香调
薰衣草,馥奇调
天竺葵,馥奇调
快乐鼠尾草,馥奇调
薄荷,馥奇调
迷迭香,馥奇调
罗勒,馥奇调
柏树,馥奇调
百里香,馥奇调
蒿,馥奇调
松针,馥奇调
杂薰衣草,馥奇调
茴香,馥奇调
八角,馥奇调
洋甘菊,馥奇调
芳香香调,馥奇调
桉树,馥奇调
龙嵩叶,馥奇调
绿薄荷,馥奇调
胡椒薄荷,馥奇调
天竺葵（埃及）,馥奇调
雪松叶,馥奇调
苦艾酒,馥奇调
桃金娘,馥奇调
薰衣草（普罗旺斯）,馥奇调
苦艾,馥奇调
月桂树,馥奇调
大麻香调,馥奇调
冷杉,馥奇调
茴香籽,馥奇调
牛至,馥奇调
馥奇香调,馥奇调
杜松子酒,馥奇调
合香叶/布枯,馥奇调
马郁兰,馥奇调
樟脑,馥奇调
冻薄荷,馥奇调
伏特加,馥奇调
